kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
07.00-07.59,8,0,0,0,1,0,0,0,385941.17,2019,1,2,6674020.78
17.00-17.59,5,0,0,0,1,0,0,1,386004.02,2019,4,2,6674979.54
09.00-09.59,9,0,0,0,0,0,0,1,386040.3,2019,9,2,6674136.32
14.00-14.59,0,0,0,0,2,0,0,0,385560.11,2019,2,2,6675049.02
12.00-12.59,0,0,0,0,3,1,0,0,386142.96,2019,3,2,6674247.94
16.00-16.59,4,1,0,0,1,0,0,0,385406,2019,10,2,6675123.49
22.00-22.59,8,0,0,0,1,0,0,0,385724.27,2019,2,2,6671983.19
02.00-02.59,6,0,1,0,1,0,0,0,385976.19,2019,3,2,6672218.01
22.00-22.59,6,0,1,0,1,0,0,0,385593.58,2019,6,2,6672101.13
04.00-04.59,7,0,1,0,1,0,0,0,385529.42,2019,10,2,6672218.83
16.00-16.59,1,1,0,0,1,0,0,0,385628.63,2019,8,2,6672625.14
17.00-17.59,6,0,1,0,1,0,0,0,385379.18,2019,6,2,6672265.34
10.00-10.59,9,0,0,1,1,0,0,0,386188.35,2019,9,2,6673157.04
01.00-01.59,8,0,0,0,1,0,0,0,386190.01,2019,12,2,6673229.32
11.00-11.59,6,0,1,0,1,0,0,0,385782.89,2019,10,2,6671379.09
15.00-15.59,9,0,0,0,1,0,1,0,385326.68,2019,9,2,6671377.31
14.00-14.59,6,0,1,0,1,0,0,0,385508.92,2019,12,2,6671496.13
01.00-01.59,4,1,0,0,1,0,0,0,385704.16,2019,10,2,6671496.76
17.00-17.59,6,0,1,0,1,0,0,0,385848.01,2019,2,2,6671588.98
22.00-22.59,0,0,0,0,2,0,0,0,385859.82,2019,2,2,6671727.21
09.00-09.59,0,0,0,0,2,1,0,0,385887.57,2019,8,2,6671635.9
20.00-20.59,6,0,1,0,1,0,0,0,385909.77,2019,12,2,6671754.36
00.00-00.59,2,0,0,0,2,0,0,0,385001.82,2019,3,2,6681631.55
08.00-08.59,2,0,0,0,2,0,0,0,385164.53,2019,10,2,6684515.44
14.00-14.59,0,0,0,0,2,0,0,0,385134.71,2019,7,2,6673093.46
16.00-16.59,4,1,0,0,1,0,0,0,385163.3,2019,9,2,6673545.46
15.00-15.59,0,0,0,0,3,0,0,0,385297.46,2019,3,2,6673693.41
12.00-12.59,4,1,0,1,0,0,0,0,385246.05,2019,4,3,6674770.25
15.00-15.59,1,1,0,0,1,0,0,0,385155.53,2019,8,2,6680271.4
10.00-10.59,8,0,0,0,7,0,0,0,385048.31,2019,8,3,6680786.9
06.00-06.59,1,1,0,0,1,0,0,0,385040.92,2019,4,3,6680774.07
17.00-17.59,4,1,0,0,0,1,0,0,385105.81,2019,6,2,6680646.25
11.00-11.59,0,0,0,0,2,0,0,0,385036.59,2019,5,2,6680023.96
15.00-15.59,9,0,1,0,1,0,0,0,385145.86,2019,8,2,6672060.3
15.00-15.59,0,1,0,0,1,0,0,0,385101.65,2019,5,2,6671125.74
16.00-16.59,9,0,0,1,0,1,0,0,385304.58,2019,6,2,6670760.88
09.00-09.59,0,0,0,0,2,0,0,0,385043.5,2019,3,2,6671480.8
12.00-12.59,6,1,1,0,0,0,0,0,385157.4,2019,7,2,6672660.39
15.00-15.59,9,0,1,0,1,0,0,0,385064.15,2019,1,2,6673006.94
14.00-14.59,4,1,0,0,1,0,0,0,385280.29,2019,4,2,6671858.21
22.00-22.59,9,0,0,0,0,0,0,1,385076.45,2019,7,2,6671716.71
17.00-17.59,6,0,1,0,1,0,0,0,385236.37,2019,11,2,6671006.43
17.00-17.59,7,0,1,0,1,0,0,0,384805.92,2019,2,2,6673794.94
04.00-04.59,6,0,1,0,0,0,0,1,384377.33,2019,7,2,6674000.81
00.00-00.59,4,0,0,0,2,0,0,0,384439.37,2019,2,2,6673884.7
09.00-09.59,6,0,1,0,1,0,0,0,384541.47,2019,10,2,6674254.07
18.00-18.59,0,0,0,0,2,0,0,0,384474.82,2019,12,2,6674361.86
